epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,159.151,0.81685,0.47005,1.09544,0.98708,1,0.99062,0.79176,0.86354,0.38418,1.03984,0.000973861,0.000973861,0.000973861
44,162.286,0.83402,0.50201,1.10831,0.98824,1,0.9851,0.81193,0.86962,0.37493,1.04329,0.000957358,0.000957358,0.000957358
45,165.475,0.82275,0.48556,1.09207,0.98644,1,0.98594,0.76062,0.94349,0.42253,1.07465,0.000940855,0.000940855,0.000940855
46,168.643,0.82949,0.46573,1.10403,0.98624,1,0.9851,0.80924,0.93087,0.41644,1.0841,0.000924352,0.000924352,0.000924352
47,171.814,0.80455,0.46846,1.08613,0.987,1,0.98729,0.78157,0.94736,0.47551,1.05419,0.000907848,0.000907848,0.000907848
48,174.976,0.82314,0.46508,1.08784,0.98822,1,0.9851,0.80096,0.87962,0.37309,1.05098,0.000891345,0.000891345,0.000891345
49,178.192,0.81847,0.45291,1.10651,0.98737,1,0.99281,0.81976,0.96768,0.38203,1.13069,0.000874842,0.000874842,0.000874842
50,181.391,0.79932,0.45601,1.09368,0.98666,0.99978,0.99021,0.80942,0.90286,0.39216,1.0898,0.000858338,0.000858338,0.000858338
51,184.57,0.79424,0.45211,1.08425,0.98643,0.99918,0.98792,0.79092,0.89319,0.39491,1.04629,0.000841835,0.000841835,0.000841835
52,187.693,0.79135,0.44899,1.08254,0.98785,1,0.98708,0.82341,0.86801,0.39528,1.01499,0.000825332,0.000825332,0.000825332
53,190.883,0.80421,0.46574,1.09181,0.98807,1,0.98573,0.81026,0.81052,0.39973,1.00219,0.000808828,0.000808828,0.000808828
54,194.028,0.78421,0.45603,1.07956,0.89531,0.97718,0.98239,0.82185,0.94062,0.6201,1.0548,0.000792325,0.000792325,0.000792325
55,197.21,0.78471,0.43819,1.07491,0.98763,1,0.9924,0.83452,0.96139,0.41627,1.07192,0.000775822,0.000775822,0.000775822
56,200.457,0.78465,0.45039,1.07842,0.98704,1,0.99198,0.80167,1.0191,0.42567,1.08659,0.000759318,0.000759318,0.000759318
57,203.643,0.77198,0.45231,1.08078,0.9764,1,0.9906,0.81537,1.01841,0.38237,1.11826,0.000742815,0.000742815,0.000742815
58,206.815,0.75709,0.4247,1.06264,0.98781,1,0.99219,0.82233,1.01598,0.3836,1.12646,0.000726312,0.000726312,0.000726312
59,209.957,0.73866,0.42278,1.06374,0.98737,1,0.98969,0.82397,0.94588,0.39359,1.06008,0.000709809,0.000709809,0.000709809
60,213.137,0.77948,0.44603,1.06843,0.98705,1,0.99083,0.8487,0.84328,0.35737,1.02444,0.000693305,0.000693305,0.000693305
61,216.272,0.73378,0.42591,1.05623,0.98779,1,0.98667,0.85284,0.75791,0.33953,0.9745,0.000676802,0.000676802,0.000676802
62,219.413,0.72515,0.41314,1.0524,0.98784,1,0.99062,0.84187,0.79304,0.35472,1.00282,0.000660299,0.000660299,0.000660299
63,222.574,0.72489,0.42567,1.03026,0.98766,1,0.99125,0.83917,0.71721,0.34773,0.96276,0.000643795,0.000643795,0.000643795
64,225.884,0.74569,0.42381,1.05696,0.98809,1,0.99083,0.84715,0.69494,0.32794,0.9478,0.000627292,0.000627292,0.000627292
65,229.078,0.74655,0.41892,1.05775,0.98673,1,0.9926,0.85174,0.85733,0.37823,1.00828,0.000610789,0.000610789,0.000610789
66,232.202,0.73554,0.42623,1.05317,0.98715,1,0.9924,0.84496,0.81865,0.39864,0.99595,0.000594286,0.000594286,0.000594286
67,235.379,0.73434,0.41473,1.05113,0.98753,1,0.99396,0.8672,0.74016,0.37926,0.95932,0.000577782,0.000577782,0.000577782
68,238.53,0.72185,0.40136,1.06376,0.98795,1,0.99281,0.85724,0.74435,0.31996,0.97877,0.000561279,0.000561279,0.000561279
69,241.729,0.72883,0.40383,1.04919,0.98734,1,0.99198,0.85393,0.70974,0.31507,0.96828,0.000544776,0.000544776,0.000544776
70,244.849,0.71494,0.40258,1.0404,0.98823,1,0.98552,0.82482,0.78281,0.34129,1.01484,0.000528272,0.000528272,0.000528272
71,248.064,0.68514,0.38388,1.04147,0.98814,1,0.99083,0.86647,0.6753,0.30991,0.93846,0.000511769,0.000511769,0.000511769
72,251.231,0.71573,0.40076,1.03343,0.9881,1,0.99042,0.86578,0.7366,0.31399,0.95206,0.000495266,0.000495266,0.000495266
73,254.413,0.73906,0.40724,1.04692,0.98818,1,0.98708,0.86015,0.69868,0.29453,0.94507,0.000478762,0.000478762,0.000478762
74,257.549,0.69462,0.39333,1.02739,0.98793,1,0.98906,0.86843,0.70113,0.32598,0.9555,0.000462259,0.000462259,0.000462259
75,260.724,0.72164,0.40505,1.04458,0.98741,1,0.99021,0.86547,0.72087,0.31924,0.95762,0.000445756,0.000445756,0.000445756
76,263.886,0.73592,0.40451,1.05018,0.98813,1,0.98885,0.8599,0.68807,0.31202,0.94713,0.000429253,0.000429253,0.000429253
77,267.015,0.67762,0.38241,1.01962,0.98832,1,0.98885,0.86657,0.62607,0.2933,0.92472,0.000412749,0.000412749,0.000412749
78,270.212,0.68409,0.39179,1.04327,0.98792,1,0.9875,0.86981,0.64971,0.30898,0.93589,0.000396246,0.000396246,0.000396246
79,273.435,0.67105,0.3875,1.03067,0.98794,1,0.98844,0.87605,0.6817,0.31465,0.93021,0.000379743,0.000379743,0.000379743
80,276.567,0.68053,0.38662,1.04645,0.98789,1,0.98594,0.87874,0.68211,0.31514,0.93624,0.000363239,0.000363239,0.000363239
81,279.752,0.69033,0.3854,1.04132,0.98833,1,0.98708,0.88223,0.63037,0.28798,0.92233,0.000346736,0.000346736,0.000346736
82,282.934,0.66089,0.3765,1.00592,0.98808,1,0.98885,0.86841,0.71633,0.32887,0.94697,0.000330233,0.000330233,0.000330233
83,286.138,0.6747,0.38056,1.02957,0.98795,1,0.98927,0.88499,0.71441,0.31993,0.95891,0.000313729,0.000313729,0.000313729
84,289.327,0.65545,0.37385,1.01257,0.98832,1,0.98687,0.88176,0.66191,0.31011,0.9217,0.000297226,0.000297226,0.000297226
85,292.585,0.66514,0.36955,1.02947,0.98776,1,0.98552,0.88718,0.5761,0.27944,0.89878,0.000280723,0.000280723,0.000280723
86,295.752,0.63005,0.37096,1.00566,0.98828,1,0.98573,0.87554,0.60531,0.29156,0.90775,0.00026422,0.00026422,0.00026422
87,298.934,0.64764,0.36627,1.01658,0.98829,1,0.9875,0.88705,0.63552,0.28729,0.91263,0.000247716,0.000247716,0.000247716
88,302.053,0.65402,0.36017,1.02166,0.98818,1,0.98708,0.88735,0.60803,0.28431,0.90105,0.000231213,0.000231213,0.000231213
89,305.22,0.63058,0.35741,1.00189,0.98828,1,0.98552,0.88486,0.62014,0.28554,0.90145,0.00021471,0.00021471,0.00021471
90,308.364,0.62549,0.37099,1.00648,0.98814,1,0.98687,0.89618,0.64781,0.29369,0.91877,0.000198206,0.000198206,0.000198206
91,324.227,0.60805,0.35462,0.97707,0.98798,1,0.99,0.8867,0.69703,0.31119,0.94013,0.000181703,0.000181703,0.000181703
92,327.39,0.56948,0.30776,0.94042,0.98787,1,0.98906,0.88748,0.61806,0.30466,0.90116,0.0001652,0.0001652,0.0001652
93,330.512,0.53857,0.29947,0.93593,0.98804,1,0.99,0.88383,0.56684,0.28739,0.88922,0.000148696,0.000148696,0.000148696
94,333.652,0.53959,0.28387,0.94542,0.98757,1,0.98865,0.89116,0.57389,0.28724,0.89087,0.000132193,0.000132193,0.000132193
95,336.798,0.53032,0.28213,0.93652,0.98712,1,0.99062,0.9008,0.58692,0.29491,0.89269,0.00011569,0.00011569,0.00011569
96,339.943,0.53951,0.2822,0.95136,0.98763,1,0.99062,0.8926,0.57252,0.28019,0.88587,9.91865e-05,9.91865e-05,9.91865e-05
97,343.076,0.52872,0.27932,0.93103,0.98828,1,0.9926,0.89897,0.5672,0.27545,0.88341,8.26832e-05,8.26832e-05,8.26832e-05
98,346.176,0.52731,0.27777,0.94265,0.98828,1,0.99302,0.8993,0.58089,0.2792,0.88925,6.61799e-05,6.61799e-05,6.61799e-05
99,349.318,0.51537,0.26868,0.92701,0.98829,1,0.99302,0.90151,0.57918,0.27721,0.88925,4.96766e-05,4.96766e-05,4.96766e-05
100,352.508,0.50739,0.27202,0.92187,0.98829,1,0.99354,0.90463,0.56061,0.27446,0.88216,3.31733e-05,3.31733e-05,3.31733e-05
